text,sentiment
"@user HAS THE HILL REPORTED ON THE ANTI TRUMP RIOTS? LOOTING,BURNING DESTROYING BUSINESSES ? ARE THE THUGS  AND KIDS RUNNING OUR COUNTRY?",negative
#BreakingNewslist of the terrorist groups at #Jordan meeting are..#Hamas #katabThawratAlAshreen #AlJaishAlislami #BaathParty & others,negative
Racists masochists fascist all the hate words we deplorables are.,negative
@user @user @user Liberals probly Favored this Job Killin Bullshit Cluster fuck!TPP Would Slaughter Middle Class Income,negative
"@user spends $Millions on politicians like #Giuliani, to push #iran war, makes Kim Jong Un look humble!https://t.co/sQpap31XUj",negative
@user Get lost you crooks. Your plan to bring #Burundi where you brought #Libya #Rwanda94 was defeated. Find your next victim elsewhere,negative
The Socialist/Fascist Party (aka. Dems) is driving itself into obscurity.,negative
They steal fox cubs off their moms to teach hounds to rip them apart for their sadism (Terrier-work). How else? It's sadistic! #KeepTheBan,negative
"yesterday was #NationalFastFoodDay, a day where one celebrates, praises, and eventually eats unhealthy food, this is a new low for humanity",negative
"@user Kim Jong Un wishes his propaganda was a good as this.  BHO never uses the restroom either, We believe that. Wink wink",negative
Bad hombres. Raul about to shoot innocent man,negative
@user wasn't it raised in 2-3 days?? Report said George Soros cyber bots contributed $165k per hour for a couple days.,negative
Hacked PELOSI emails CONFIRM Dems responsible for Mayhem in Cleveland during RNC proving they are Party of DISGUST!,negative
"Potentially oil rich, Venezuela under won't-let-you-recall-me Pres Maduro is now producing refugees from the misery.",negative
@user The Saviors making Gregory kneel after taking half of his shit comes to mind. #TheWalkingDead,negative
"FrPavone: ""total number of deaths by capital punishment, for our entire history, is less than the number of deaths by abortion every 5days""",negative
"VIDEO: #Russia FM Lavrov (@mfa_russia) caught lying red-handed about airstrikes in #Aleppo, #Idlib & #Homs in…",negative
"Obama... Evil, Stupid Or Both? Video - Bill Whittle RETWEET #USA #Conservatives #TeaParty",negative
"@user India, I am sure top management/Admin would've fallen Prey to Leftists'/Psedoseculiars' setting tempetions -:)!",negative
Charles rails on bible thumping conservatives all the time and I find it funny because they're always taken a back that a veteran is going—,negative
"wish people find other ways to make money than advertising, booze and fossil fuels, is that called moral economy ?",negative
#jocox  supporter of #hamas and #fabian and #hoax death to try and stop #brexitthe #remain cancer lost,negative
"Arsonists setting fires in #Israel, now the hills of #Jerusalem are burning😥🇮🇱 #IsraelFires #arson #Arabs #Jews",negative
@user @user @user @user Too bad #MH17 truth comes free. I know how that really bugs piss out of you paid #Kremlintrolls,negative
What would The [un] @user & Conservatives say if @user or @user did a secret deal to give $300miln to WA? #auspol,negative
People are going to protest trump for 4 years and will accomplish nothing,negative
"@user @user BEING DESPERATE CALLS FOR DESPERATE MORONIC ACTIONS....FUNNY THOU 😂CNN NEEDS RATING AT AT COST,AS WELL AS ANY LIBERALS MEDIA",negative
Please don't consider donating to @user They'll just buy more euthanasia.,negative
@user Check the Clinton Foundation for contributions to Jill Stein!  There's your problem!  Hillary still in the game and trying,negative
Retweeted Medical Marijuana (@AmericanGanja):So it's legal for a single doctor to prescribe these dangerous...,negative
Obama's dirty secret: Funded fossil fuel projects worldwide while cutting American power plants & jobs #ObamasLegacy,negative
@user He's not talking about killing Americans via drone strikes like your head thug obama!,negative
@user @user all the liberals in the US will be morning their hero. Let's see if Obama lowers white house flag.,negative
"Curry: ""The political dogma of Obama, Clinton and Pope Francis surrounding climate change seems like more of a recipe for ‘anti-science.’""",negative
"""the patches] are being used to kill people with dementia, with the idea that it’s cheapest and best to get rid of…",negative
I have been astonished at the reaction of the liberals. Horrifying.,negative
It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,negative
"Raul Castro announced that Cuba would not be allowed to name any streets or monuments after Fidel to ""avoid a cult of personality"" -ABC News",negative
"Melania is the poster child for a woman's lack of power except thru beauty. In speech she said, ""my parents taught…",negative
Electoral College must reject Trump #rejecttrump #notmypresident #takingbackdemocracy #blacklivesmatter #nevertrump,negative
It already WAS normalized. See: Obamacare MT @user Business-specific meddling shouldn't be normalized.,negative
Trump & his cabinet together w/ his family just downgraded America into Banana Republic in just 2 wks.We're the lau…,negative
@user @user @user religion is a scare tactic and these folks are a prime example. #stomptheyard  #steppinforchrist,negative
"@user ""Alt-rightists"" are notorious for their Asian fetishes, so it's honestly not surprising",negative
Donald Trump and the Rise of White Supremacist Media @user #NotMyPresident #uniteblue #Resist #MAGA #tcot @user,negative
"When Media sells killer vaccines,give it FEAR label: ZIKA;  when MEDIA wants2hide a REAL DANGER (Black violence), I…",negative
"@user - dump Pelosi.  Like Harry Reid, she lied about Obamacare and is useless.  Go away.",negative
The people who looted money meant for maternity and vaccines still playing politics with the lives of Kenyans#LipaKamaTender,negative
Why is Armstrong still speaking for Carson? It bothers me. I am not basing my concerns solely on the Mother Jones...,negative
#Yemen army & militia snipers kills Two of Saudi troops in Najran today. #VirulentYemen,negative
Because the Nazi Democrats lost the election they are out for revenge-& these NEW NAZI propaganda tweeters have les…,negative
Trump hit by media for choosing billionaires for Cabinet it to the media to gripe they'll be someone there need no $,negative
"@user hey don't only build a wall on the mexican border, you can't trust canadians either #snowmexicans",negative
"@user @user @user Abortion is evil.  Deal with it, take a Midol and go to bed sugartits.",negative
"Didn't you get the memo? Fossil fuels are yesterdays news, destroys our habitat you know. Yes, your children's too.",negative
"@user  Protest to Obama Admin. The country in crisis & polarized. I hve Am Indian heritage, too.",negative
Grayson Allen just gave dude such a sick move,negative
She stole her speech just steel Michelle's dress.⚡T. Hilfiger: Any designer should be proud to dress Melania Trumphttps://t.co/NsvUOjfpjb,negative
@user Very interesting article. Why can't the Dems just step back from identity politics for 2sec to look at his absurdly bad record?,negative
Samsung Galaxy Note 7 officially discontinued #review,negative
@user Trump's not qualified to see promises thru. That's bad. Hillary IS qualified to get hers thru. That's worse. #TPP #Fracking,negative
"HA! #Giuliani is a UGE crook! #CrookedRudy never ever trust him, he was in w #Comey #Romey be a fair not a #bigot…",negative
Separating Fact from Fiction - Voter Suppression - the Real Election Rigging   @user,negative
"Putin-Troll Marcel Sardo, one of the top-top Kremlin #trolls , operating from #switzerland , look his customer list…",negative
"Western ISIS adventurism, Israel behind Hamas: Assange revelations  #assange #hamas #israel #palestine #BDS",negative
"America, please understand WHY the lies about illegal voters. It's not to legitimize *anything, except voter suppression laws. Wake up.",negative
ISIS: A 'perversion' of Islam?  #trump #maga #isis #tcot,negative
